"Cp","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","RegionId","U:0","U:1","U:2","k","p","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus"
-0.24702,0.23834,0.055362,-0.9696,-0.75495,0.3,0.23384,0,0,0,0,90.729,-1127.6,10493,4.9825e+05,36910,-34.918,1.4357,-9.4594,61.444
-0.2437,0.24288,0.051466,-0.96869,-0.75617,0.3,0.23355,0,0,0,0,88.923,-1112.5,11278,4.0193e+05,26288,-33.379,1.5254,-9.3867,75.554
-0.24494,0.20905,0.069324,-0.97545,-0.75443,0.3,0.23395,0,0,0,0,91.094,-1118.1,10045,5.1896e+05,39168,-35.173,1.3934,-9.4667,58.596
-0.24735,0.24664,0.0481,-0.96791,-0.75746,0.3,0.23322,0,0,0,0,88.371,-1129.1,10507,3.4603e+05,20446,-32.226,1.5225,-9.5256,86.087
-0.23045,0.20775,0.070245,-0.97566,-0.75339,0.3,0.23417,0,0,0,0,91.834,-1052,8241.2,5.5442e+05,42428,-35.353,1.2341,-9.3125,53.857
-0.2691,0.25223,0.042741,-0.96672,-0.7587,0.3,0.2329,0,0,0,0,88.573,-1228.4,11926,3.2649e+05,18099,-32.09,1.7152,-10.139,92.129
-0.21005,0.20647,0.071105,-0.97586,-0.75311,0.3,0.23423,0,0,0,0,92.198,-958.85,6162.4,5.6213e+05,42352,-35.131,1.0776,-9.0636,52.338
-0.27828,0.27159,0.030302,-0.96193,-0.76079,0.3,0.23235,0,0,0,0,89.013,-1270.3,14135,3.2239e+05,15046,-32.465,1.9101,-10.737,95.308
-0.2084,0.20549,0.072123,-0.976,-0.753,0.3,0.23426,0,0,0,0,92.351,-951.34,5859.2,5.7409e+05,43778,-35.299,1.0517,-9.0632,50.965
-0.27436,0.28477,0.023207,-0.95831,-0.76202,0.3,0.23199,0,0,0,0,89.356,-1252.4,15133,3.2276e+05,12328,-32.696,1.9501,-11.219,96.478
-0.18643,0.20549,0.072153,-0.976,-0.75235,0.3,0.23439,0,0,0,0,92.582,-851.04,3788.9,5.8988e+05,43429,-35.14,0.89112,-8.8328,48.774
-0.28471,0.29186,0.017669,-0.95629,-0.76328,0.3,0.23161,0,0,0,0,89.63,-1299.7,16196,3.2414e+05,10996,-32.805,2.03,-11.901,97.047
-0.17699,0.2055,0.072151,-0.97599,-0.7517,0.3,0.23453,0,0,0,0,93.009,-807.93,3365.8,6.0215e+05,41716,-35.087,0.86052,-8.6789,47.317
-0.29074,0.3055,0.0094482,-0.95212,-0.76535,0.3,0.23097,0,0,0,0,89.8,-1327.2,18198,3.27e+05,9172.8,-33.156,2.1833,-12.519,97.828
