"Cp","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","RegionId","U:0","U:1","U:2","k","p","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus"
-2.972,0.40644,-0.31229,0.85865,-1.2288,0.3,0.10394,0,0,0,0,142.24,-13567,-1.052e+05,-6.0073e+05,-1.8853e+05,-49.967,-9.7085,57.634,107.85
-2.8589,0.38212,-0.30268,0.87313,-1.2278,0.3,0.10346,0,0,0,0,142.99,-13050,-62387,-4.6059e+05,-1.3525e+05,-45.793,-7.063,44.718,117.34
-3.0599,0.49826,-0.34586,0.79433,-1.2296,0.3,0.10448,0,0,0,0,142.79,-13968,-1.5202e+05,-7.3134e+05,-2.4444e+05,-46.955,-15.507,72.744,100.47
-2.7158,0.35884,-0.29353,0.88604,-1.2265,0.3,0.10293,0,0,0,0,142.25,-12397,-46445,-4.053e+05,-1.089e+05,-43.36,-4.5355,35.028,117.55
-3.1292,0.50619,-0.35768,0.78423,-1.2302,0.3,0.10482,0,0,0,0,144.52,-14285,-1.772e+05,-8.1488e+05,-2.8349e+05,-43.3,-20.067,80.959,91.687
-2.6839,0.3065,-0.26847,0.91321,-1.2261,0.3,0.10281,0,0,0,0,141.54,-12252,-43587,-3.9635e+05,-1.0517e+05,-42.565,-4.2481,33.172,116.57
-3.1826,0.54937,-0.37577,0.7444,-1.2305,0.3,0.10501,0,0,0,0,145.94,-14528,-1.9706e+05,-8.8139e+05,-3.1224e+05,-41.365,-24.511,89.984,89.433
-2.6311,0.30158,-0.26453,0.91593,-1.2257,0.3,0.10267,0,0,0,0,141.05,-12011,-40896,-3.886e+05,-1.0236e+05,-41.882,-3.9575,31.351,115.53
-2.9897,0.65333,-0.41493,0.63215,-1.2307,0.3,0.10519,0,0,0,0,145.16,-13648,-2.3914e+05,-1.003e+06,-3.4389e+05,-47.142,-24.504,96.827,89.939
-2.4745,0.28882,-0.25649,0.92238,-1.2246,0.3,0.10234,0,0,0,0,136.98,-11296,-29961,-3.6368e+05,-93658,-39.289,-3.2959,25.263,111.16
-2.9914,0.65875,-0.41687,0.62626,-1.2307,0.3,0.1052,0,0,0,0,145.05,-13656,-2.4101e+05,-1.0088e+06,-3.4666e+05,-46.928,-24.853,97.553,89.78
-2.3564,0.27074,-0.24916,0.92985,-1.2234,0.3,0.10194,0,0,0,0,131.62,-10757,-24150,-3.5135e+05,-86804,-38.033,-2.6685,21.385,107.94
-2.8441,0.75985,-0.47119,0.43778,-1.231,0.3,0.1056,0,0,0,0,133.97,-12983,-3.0283e+05,-1.0984e+06,-4.3619e+05,-32.355,-36.242,106.74,81.131
-2.3032,0.24597,-0.24335,0.93822,-1.2219,0.3,0.10158,0,0,0,0,127.41,-10514,-21469,-3.4446e+05,-80880,-37.235,-2.1595,19.136,105.83
-2.5936,0.77789,-0.47505,0.41003,-1.2311,0.3,0.10572,0,0,0,0,126.86,-11839,-3.2632e+05,-1.109e+06,-4.5903e+05,-30.627,-37.198,103.51,79.647
-2.2871,0.23286,-0.23213,0.94439,-1.2215,0.3,0.10148,0,0,0,0,126.13,-10440,-20605,-3.4216e+05,-79961,-36.943,-2.0489,18.283,105.08
-2.3099,0.78719,-0.53556,0.30013,-1.2312,0.3,0.1059,0,0,0,0,117.39,-10544,-3.3712e+05,-1.1117e+06,-4.7876e+05,-27.001,-36.768,97.025,76.855
-2.2602,0.231,-0.23614,0.94384,-1.2209,0.3,0.10133,0,0,0,0,124.63,-10318,-19426,-3.39e+05,-77713,-36.484,-1.8557,17.263,104.02
-1.6684,0.7851,-0.5797,0.20065,-1.2313,0.3,0.10633,0,0,0,0,89.784,-7616.1,-3.8414e+05,-9.0527e+05,-4.8732e+05,-6.7722,-42.553,71.169,68.992
-2.2069,0.19106,-0.20632,0.95964,-1.22,0.3,0.1011,0,0,0,0,121.15,-10074,-17168,-3.3329e+05,-73230,-35.684,-1.475,15.192,102.04
-1.511,0.79451,-0.57925,0.17377,-1.2313,0.3,0.10645,0,0,0,0,82.598,-6897.4,-3.9508e+05,-8.6541e+05,-4.9219e+05,-1.9202,-43.7,65.562,66.95
-2.1617,0.17277,-0.20018,0.9644,-1.2188,0.3,0.10085,0,0,0,0,116.91,-9867.9,-14492,-3.2476e+05,-65690,-34.509,-1.1442,13.44,99.56
-1.1817,0.88138,-0.42821,-0.1994,-1.2313,0.3,0.1066,0,0,0,0,67.991,-5394.4,-4.3951e+05,-6.6041e+05,-4.6158e+05,12.458,-45.908,47.304,62.605
-2.0388,0.16723,-0.19597,0.96624,-1.2174,0.3,0.10061,0,0,0,0,111.21,-9306.9,-7224.6,-3.0852e+05,-60967,-31.779,-1.4318,11.087,94.956
-1.9317,0.17321,-0.19593,0.9652,-1.2159,0.3,0.10035,0,0,0,0,105.89,-8818.1,-5015.2,-2.9799e+05,-60079,-30.024,-1.364,9.4434,91.959
-1.9071,0.17451,-0.19588,0.96498,-1.2145,0.3,0.10009,0,0,0,0,101.49,-8705.5,-6458.1,-2.9672e+05,-60393,-29.927,-1.0516,8.6325,91.541
-1.9141,0.17439,-0.19585,0.965,-1.213,0.3,0.099837,0,0,0,0,98.623,-8737.6,-9531.7,-3.0038e+05,-61410,-30.69,-0.63888,8.264,92.498
-1.9199,0.16974,-0.19497,0.96597,-1.2127,0.3,0.099774,0,0,0,0,98.219,-8764.2,-10304,-3.0201e+05,-61359,-31.003,-0.5277,8.2093,92.915
-1.9345,0.16852,-0.20136,0.96486,-1.2122,0.3,0.099689,0,0,0,0,97.634,-8831,-11146,-3.0292e+05,-59732,-31.177,-0.39233,8.2423,93.135
-1.9599,0.16655,-0.20305,0.96485,-1.2111,0.3,0.099495,0,0,0,0,96.37,-8946.6,-12417,-3.065e+05,-55361,-31.811,-0.10673,7.9922,93.902
-1.9469,0.099489,-0.16195,0.98177,-1.2098,0.3,0.099354,0,0,0,0,94.727,-8887.6,-9077.7,-3.0058e+05,-48983,-30.784,-0.22686,7.1897,92.119
